Object Name,Attribute Name
Internal_Referral__c,CreatedById
Internal_Referral__c,LastModifiedDate
Internal_Referral__c,LastModifiedById
Internal_Referral__c,SystemModstamp
Internal_Referral__c,LastViewedDate
Internal_Referral__c,LastReferencedDate
Partner_Relationship__History,Id
Partner_Relationship__History,IsDeleted
Partner_Relationship__History,CreatedDate
Partner_Relationship__History,CreatedById
Partner_Relationship__History,ParentId
ahaapp__AhaSettings__c,Id
ahaapp__AhaSettings__c,IsDeleted
ahaapp__AhaSettings__c,Name
ahaapp__AhaSettings__c,CurrencyIsoCode
ahaapp__AhaSettings__c,CreatedDate
ahaapp__AhaSettings__c,CreatedById
ahaapp__AhaSettings__c,LastModifiedDate
ahaapp__AhaSettings__c,LastModifiedById
ahaapp__AhaSettings__c,SystemModstamp
ChannelProgramFeed,Id
ChannelProgramFeed,IsDeleted
ChannelProgramFeed,CreatedDate
ChannelProgramFeed,CreatedById
ChannelProgramFeed,LastModifiedDate
ChannelProgramFeed,SystemModstamp
ChannelProgramFeed,ParentId
Zuora__ZContact__c,Id
Zuora__ZContact__c,IsDeleted
Zuora__ZContact__c,Name
Zuora__ZContact__c,CurrencyIsoCode
Zuora__ZContact__c,CreatedDate
Zuora__ZContact__c,CreatedById
Zuora__ZContact__c,LastModifiedDate
Zuora__ZContact__c,LastModifiedById
Zuora__ZContact__c,SystemModstamp
Zuora__SubscriptionProductChargeHistory__c,Id
Zuora__SubscriptionProductChargeHistory__c,IsDeleted
Zuora__SubscriptionProductChargeHistory__c,Name
Zuora__SubscriptionProductChargeHistory__c,CurrencyIsoCode
Zuora__SubscriptionProductChargeHistory__c,CreatedDate
Zuora__SubscriptionProductChargeHistory__c,CreatedById
Zuora__SubscriptionProductChargeHistory__c,LastModifiedDate
Zuora__SubscriptionProductChargeHistory__c,LastModifiedById
Zuora__SubscriptionProductChargeHistory__c,SystemModstamp
Cancellation__c,Id
Cancellation__c,IsDeleted
Cancellation__c,Name
Cancellation__c,CurrencyIsoCode
Cancellation__c,CreatedDate
Cancellation__c,CreatedById
Cancellation__c,LastModifiedDate
Cancellation__c,LastModifiedById
Cancellation__c,SystemModstamp
Cancellation__c,LastViewedDate
Cancellation__c,LastReferencedDate
Product_Family_Revenue_Snapshot__c,Id
Product_Family_Revenue_Snapshot__c,IsDeleted
Product_Family_Revenue_Snapshot__c,Name
Product_Family_Revenue_Snapshot__c,CurrencyIsoCode
Product_Family_Revenue_Snapshot__c,CreatedDate
Product_Family_Revenue_Snapshot__c,CreatedById
Product_Family_Revenue_Snapshot__c,LastModifiedDate
Product_Family_Revenue_Snapshot__c,LastModifiedById
Product_Family_Revenue_Snapshot__c,SystemModstamp
fferpcore__UserManagementTemplate__mdt,Id
pse__Forecast_Enhanced_Override__Share,Id
pse__Forecast_Enhanced_Override__Share,IsDeleted
pse__Forecast_Enhanced_Override__Share,LastModifiedDate
pse__Forecast_Enhanced_Override__Share,LastModifiedById
pse__Forecast_Enhanced_Override__Share,ParentId
pse__Forecast_Enhanced_Override__Share,UserOrGroupId
pse__Forecast_Enhanced_Override__Share,AccessLevel
pse__Forecast_Enhanced_Override__Share,RowCause
Sales_Invoice__History,Id
Sales_Invoice__History,IsDeleted
Sales_Invoice__History,CreatedDate
Sales_Invoice__History,CreatedById
Sales_Invoice__History,ParentId
ServicePresenceStatus,Id
ServicePresenceStatus,IsDeleted
ServicePresenceStatus,CreatedDate
ServicePresenceStatus,CreatedById
ServicePresenceStatus,LastModifiedDate
ServicePresenceStatus,LastModifiedById
ServicePresenceStatus,SystemModstamp
ServiceContract,Id
ServiceContract,IsDeleted
ServiceContract,Name
ServiceContract,CurrencyIsoCode
ServiceContract,CreatedDate
ServiceContract,CreatedById
ServiceContract,LastModifiedDate
ServiceContract,LastModifiedById
ServiceContract,SystemModstamp
ServiceContract,LastViewedDate
ServiceContract,LastReferencedDate
ServiceContract,Description
fferpcore__UserInformation__Share,Id
fferpcore__UserInformation__Share,IsDeleted
fferpcore__UserInformation__Share,LastModifiedDate
fferpcore__UserInformation__Share,LastModifiedById
fferpcore__UserInformation__Share,ParentId
fferpcore__UserInformation__Share,UserOrGroupId
fferpcore__UserInformation__Share,AccessLevel
fferpcore__UserInformation__Share,RowCause
pse__Create_Billing_Documents_Batch__Share,Id
pse__Create_Billing_Documents_Batch__Share,IsDeleted
pse__Create_Billing_Documents_Batch__Share,LastModifiedDate
pse__Create_Billing_Documents_Batch__Share,LastModifiedById
pse__Create_Billing_Documents_Batch__Share,ParentId
pse__Create_Billing_Documents_Batch__Share,UserOrGroupId
pse__Create_Billing_Documents_Batch__Share,AccessLevel
pse__Create_Billing_Documents_Batch__Share,RowCause
CustomObjectUserLicenseMetrics,Id
CustomObjectUserLicenseMetrics,SystemModstamp
bizible2__Bizible_Attribution_Touchpoint__Share,Id
bizible2__Bizible_Attribution_Touchpoint__Share,IsDeleted
bizible2__Bizible_Attribution_Touchpoint__Share,LastModifiedDate
bizible2__Bizible_Attribution_Touchpoint__Share,LastModifiedById
bizible2__Bizible_Attribution_Touchpoint__Share,ParentId
bizible2__Bizible_Attribution_Touchpoint__Share,UserOrGroupId
bizible2__Bizible_Attribution_Touchpoint__Share,AccessLevel
bizible2__Bizible_Attribution_Touchpoint__Share,RowCause
LeanData__Round_Robin_Schedule_Setting__c,Id
LeanData__Round_Robin_Schedule_Setting__c,IsDeleted
LeanData__Round_Robin_Schedule_Setting__c,Name
LeanData__Round_Robin_Schedule_Setting__c,CurrencyIsoCode
LeanData__Round_Robin_Schedule_Setting__c,CreatedDate
LeanData__Round_Robin_Schedule_Setting__c,CreatedById
LeanData__Round_Robin_Schedule_Setting__c,LastModifiedDate
LeanData__Round_Robin_Schedule_Setting__c,LastModifiedById
LeanData__Round_Robin_Schedule_Setting__c,SystemModstamp
ServiceContractFeed,Id
ServiceContractFeed,IsDeleted
ServiceContractFeed,CreatedDate
ServiceContractFeed,CreatedById
ServiceContractFeed,LastModifiedDate
